name,brand,description,quantity,price,category,Catalog_No
Pipette Tips Finntip™ Flex 1000uL,ThermosFisher Scientific,10 racks,11,64.55,Plastic Consumables,Thermo 94060713
Pipette Tips Finntip™ Flex 300uL,ThermosFisher Scientific,10 Racks per Box,9,44.36,Plastic Consumables,Thermo 94060513
Illumina HiSeq SBS Kit V4 Box 1 of 2,Illumina,Expires 21/Jan/2021,8,1512,Reagents Consumables,FC-401-4002
Illumina HiSeq SBS Kit V4 Box 2 of 2,Illumina,Expires 11/Feb/2021,8,1512,Reagents Consumables,FC-401-4002
HiSeq® SR Cluster Kit v4 - cBot,Illumina,Expires 4/Feb/2021,8,5160,Reagents Consumables,GD-401-4001
HiSeq® SR FlowCell,Illumina,Expires 2/Oct/2021,7,0,Reagents Consumables,GD-401-4001
Finntip Flex 10ul refill starter kit,ThermosFisher Scientific,"Non-Filtered, Non-sterile, Refill",1,88,Plastic Consumables,Thermo 94060116
"Sorensen Barrier Tip Sterile, low bind 200ul",Sorenson BioScience,"Filtered tips. 96 Tips/Rack, 10 Racks/Pack, 5 Packs/Case",3,98,Plastic Consumables,30550T
"Finntip Flex 10ul Filtered, Sterile",ThermosFisher Scientific,"10x96/rack, Sterile 1 CS/960. 
Quantity in terms of Boxes",23,65,Plastic Consumables,94060103
PCR Strip tubes 8-Flat Caps,Treff,"Clear, 125strips/bag",1,47,Plastic Consumables,96.10570.9.01
PCR 8-Strip Tubes,Treff,"Clear, 125strips/bag",3,47,Plastic Consumables,96.10560.9.01
96-well low profile skirted PCR plate,Treff,"For DNA storage, and Genomic CQ. Quantity is in Boxes",5,170,Plastic Consumables,96.11204.9.01
"Eppendorf twin.tec PCR Plates 96 LoBind, skirted",eppendorf,25 Plates per Box. For DigLig and PCR. Quantity is in BOX,20,158,Plastic Consumables,30129512
"Eppendorf DNA LoBind Tubes, 2.0 mL",eppendorf,"PCR clean, colorless. 250 pieces per BOX",1,30,Plastic Consumables,22431048
"Eppendorf DNA LoBind Tubes, 1.5 mL",Eppendorf,250 tubes (5 bags × 50 tubes),30,17,Plastic Consumables,22431021
"Eppendorf DNA LoBind Tubes, 0.5 mL",Eppendorf,"PCR clean, colorless, 250 tubes",20,16,Plastic Consumables,
Adhesive PCR Plate Seals 100 sheets/Pack (PCR),ThermosFisher Scientific,"For PCR, and other general purposes",20,85,Plastic Consumables,AB0558
Normal seals,Sigma Aldrich/3M,"for DNA storage, Genomic QC, etc",0,50,Plastic Consumables,
Diamond shaped weighing boats-50ml,Heatrow scientific,like 200 per Box,1,15,Plastic Consumables,W3887
Diamond shaped weighing boats- 100ml,Heatrow scientific,like 200 per box,1,12,Plastic Consumables,W4137
50ml Reservoir,Corning,"white polystyrene, capacity 50 mL, pkg of 200 ea per Box",2,161,Plastic Consumables,CLS4870
Tecan LiHa Filtered Tips 50ul,Axygen,"Tecan LiHa Filtered Tips Compatible With LiHA-1, -4 and -8 Head, Sterile, 50ul Volume, Black. 24 -96well format per Box",25,335,Plastic Consumables,
Non- Sterile GripTips for use with VIAFLO 96,Integra Biosciences,"Non- Sterile, 5x boxes of 96,",4,48,Plastic Consumables,6433
Sterile GripTips for use with VIAFLO 96,Integra Biosciences,"5x boxes of 96,",5,60,Plastic Consumables,6434
Filtered GripTips for use with VIAFLO 96,Integra Biosciences,5x boxes of 96,3,86,Plastic Consumables,6435
"Disposable Reagent Reservoirs 100 ml, 96 well",Integra Biosciences,"100 ml, 96 well, 200 reservoirs per case, bulk pack, sterile, for Viaflo",6325,307.64,Plastic Consumables,6325
"Disposable Reagent Reservoirs 300 ml, 96 well",Integra Biosciences,"96 well, 200 reservoirs per case, bulk pack, sterile, for Viaflo",4,349.16,Plastic Consumables,6326
"BSA, Molecular Biology Grade",Sigma,20 mg/ml,1,43,Reagents Consumables,B9000S
Adenoside Triphosphate (ATP),Sigma,stored in -20 freezer,1,213,Reagents Consumables,
Gene Ruler 1Kbp,Thermo Scientific,"1 kb Plus DNA Ladder, ready-to-use",10,189,Reagents Consumables,SM1333
Gene Ruler  100bp,Thermo Scientific,"DNA Ladder, ready-to-use",11,325,Reagents Consumables,SM0244
TopVision Agarose  500g,ThermosFisher scientific,Gel,5,234,Reagents Consumables,R0492
Sodium Hydroxide 1Kg,Sigma,NaOH,8,60,Reagents Consumables,30620
Sodium dodecyl sulfate 500g,Sigma,SDS. for biochemistry and surfactant tests,1,90,Reagents Consumables,L45009
"Magnesium chloride-anhydrous, =98%",Sigma,"anhydrous, =98%.",1,146,Reagents Consumables,M8266-1KG
Sodium chloride,Sigma,"for molecular biology, DNase, RNase, and protease, none detected, =99% (titration)",3,34,Reagents Consumables,S3014-1KG
REDTaq SuperPak DNA polymerase,Sigma,Taq for routine PCR with inert dye; with 10X buffer & dNTP mix,23,145,Reagents Consumables,D6063-250UN
EDTA- Ethylenediamine Tetra Acetic Acid,Sigma,"ACS reagent, 99.4-100.6%, powder",5,169,Reagents Consumables,E9884-1KG
Tris Base 10Kg,Sigma/VWR,Calbiochem,1,400,Reagents Consumables,648311-5KG
Potassium acetate,Sigma,"for molecular biology, =99.0%",1,191,Reagents Consumables,P1190-500G
Ammonium acetate,Sigma,"for molecular biology, =98%",1,393,Reagents Consumables,A1542-2.5KG
Proteinase K,Sigma,1000mg,2,96,Reagents Consumables,PROK23
Propan-2-ol,Sigma,Propan-2-ol,7,20,Reagents Consumables,
Polyvinylpyrrolidone (PVP)  500g,VWR,500g,1,76,Reagents Consumables,VWRV0507
Ethanol 96%,VWR,"2.5 L, Glass bottle",4,98,Reagents Consumables,EM1.59010.2500
HiSeq cBot 2 Manifold kit,Illumina,cBot 2 Manifold plus gaskettes,7,0,Plastic Consumables,
HiSeq® Multi-Primer Rehybridization Kit V4,Illumina,Expired in 2018,2,0,Reagents Consumables,GD-403-4001
Qiaquick PCR Purification Kit (250),Qiagen,"For purification of 250 PCR reactions: 250 QIAquick Spin Columns, Buffers, Collection Tubes (2 ml)",1,1024,Reagents Consumables,28106
Machery Nagel NucleoMag 96 Plant Kits,Machery Nagel,Plant DNA extraction,1,3905,Reagents Consumables,744400.24
ZymoResearch-4*96 Genomic DNA Clean & Concentrator,Zymo Research,Already expired in 2019 March,25,997,Reagents Consumables,D4067
Machery Nagel NucleoMag 96 Tissue Kits,MACHEREY-NAGEL,For Tissue DNA extraction,1,4128,Reagents Consumables,744300.24
REDTaq® SuperPak™ DNA Polymerase,Sigma Aldrich,,10,250,Reagents Consumables,D6063-250UN
Qiagen Buffer EB (250 ml),Qiagen,,10,42,Reagents Consumables,19086
QIAquick PCR Purification Kit (250),Qiagen,For pooled samples purification,10,750,Reagents Consumables,28106
"Eppendorf™ twin.tec™ 96 Well LoBind PCR Plates, Skirted, 25 Pack",eppendorf,DiGLig and PCR,10,189,Plastic Consumables,30129512
Tanbead plant DNA Auto Plate Kit,Tanbead,,10,145,Reagents Consumables,613
